trial_id,scenario,method,blocked,block_reasons,remote_mutations,stale_mutation,duplicate_mutation,unsafe_mutation,correct_outcome
60,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
60,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
61,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
61,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
61,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
61,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
62,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
62,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
62,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
62,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
63,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
63,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
63,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
63,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
64,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
64,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
64,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
64,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
65,combined_source_and_draft_drift,A0_ordinary_approval_log,0,,2,1,1,1,0
65,combined_source_and_draft_drift,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
65,combined_source_and_draft_drift,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
65,combined_source_and_draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch|approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
66,draft_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
66,draft_drift,A1_source_hash_conditional,0,,1,1,0,1,0
